category,datetime,headline,id,image,related,source,summary,url
company,1627644600,Cerner Reports Second Quarter 2021 Results,69404580,https://s.yimg.com/uu/api/res/1.2/7NUZI1Be_26I7G1.JG41DA--~B/aD0yNDA7dz05NzY7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/globenewswire.com/88d57294f6aa8a991537adc024a67a53,CERN,Yahoo,"Delivers Strong Results Across All Key MetricsGAAP Operating Margin and Diluted EPS Lower Due to Restructuring ChargesStrong Adjusted Operating Margin Expansion and Adjusted Diluted EPS Growth vs. Year Ago Quarter KANSAS CITY, Mo., July 30, 2021 (GLOBE NEWSWIRE) -- Cerner Corporation (Nasdaq: CERN) today announced results for the 2021 second quarter that ended June 30, 2021. The second quarter 2021 earnings release can be viewed here as well as on the company’s website at https://investors.cerne",https://finnhub.io/api/news?id=bceffdec53e37469795dbd51506f8ccc647d6afd3e6b23b365d59d742f458374
company,1627642920,"Cerner Stock Gains On Q2 Earnings Beat, Restructuring Savings, Q3 Outlook",69417648,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/abtech_1273.png,CERN,Benzinga,"Cerner Corp (NASDAQ: CERN) reported second-quarter FY21 revenue growth of 10% year-on-year to $1.46 billion, beating the analyst consensus of $1.44 billion....",https://finnhub.io/api/news?id=0ea8e0518dd9f75a0295672c048291c18c49910ee60be62f649dbda855800f1d
company,1627633980,"Cerner 2Q Adjusted EPS, Rev Beat Analyst Views",69430462,https://mw3.wsj.net/mw5/content/logos/mw_logo_social.png,CERN,MarketWatch,"By Michael Dabaie Cerner Corp. reported lower second-quarter earnings on restructuring charges, but adjusted earnings and revenue came in above analyst...",https://finnhub.io/api/news?id=4cca6833a063d981e69d7415a69d2cf34f0753fa9d29b8e9f81b233645184afa
company,1627632780,Cerner Sees 2021 Adjusted EPS About $3.25; Above Analyst Views,69430464,https://mw3.wsj.net/mw5/content/logos/mw_logo_social.png,CERN,MarketWatch,By Michael Dabaie Cerner Corp. guided for adjusted earnings per share for the year above analyst expectations. The health technologies company said it...,https://finnhub.io/api/news?id=f850c837f034669f869c12c6126df15ff1602f9001245e5f3ed0c705cfbdd933
company,1627632540,Recap: Cerner Q2 Earnings,69417649,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,CERN,Benzinga," 
Shares of Cerner (NASDAQ:CERN) were unchanged after the company reported Q2 results.
Quarterly Results
Earnings per share increased 26.98% year over year to $0.80, which...",https://finnhub.io/api/news?id=cbd4f4385065f3421db93aad20dab75205e172903be808f913e362edee9f84da
company,1627631580,Fly Intel: Pre-market Movers,69404881,https://image.thefly.com/catalog/202004/img_793.jpg,CERN,Thefly.com,"Chevron rises, Amazon falls after earnings reports ERYP, XOM, CVX, PG, QSR, CERN, TEAM, CAT, AMZN, PINS, SAVA",https://finnhub.io/api/news?id=ee05db443cf59073df3875e7b711861de0bbba1e4dd3c4aedae423e02c891474
company,1627631280,Cerner: Q2 Earnings Snapshot,69409149,,CERN,"Associated Press, The",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=b0d18374fca4fdccb84efbc3fa5784aabf05d3839ec2ed34d9e02c096226fdba
company,1627630200,Cerner Reports Second Quarter 2021 Results,69409150,,CERN,GlobeNewswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=520af19009100db1aee4eee15d4a382af6e06374595374a5d59a3611ba5bf8a2
company,1627627140,"Cerner sees FY21 adjusted EPS approx. $3.25, consensus $3.22",69409151,,CERN,Thefly.com,Sees revenue growth in mi... CERN,https://finnhub.io/api/news?id=54605fa1ed769bf32567b3dba923f10f93fddd874f17223b9172be8e191870a8
company,1627627020,"Cerner sees Q3 adjusted EPS growth 12%-15% y-o-y, consensus 82c",69409152,,CERN,Thefly.com,Sees Q3 revenue growth ap... CERN,https://finnhub.io/api/news?id=74729813e9094eeb54ed9a91ede4a4f732e355fcf05abc17d5ee58c6613e8594
